Airport,Tarcoola,TAQ,Tarcoola,TAQ,Australia,AU
City,Tamworth,TMW,NULL,NULL,Australia,AU
Airport,Tamworth,TMW,Tamworth,TMW,Australia,AU
City,Taree,TRO,NULL,NULL,Australia,AU
Airport,Taree,TRO,Taree,TRO,Australia,AU
Airport,Townsville,TSV,Townsville,TSV,Australia,AU
City,Townsville,TSV,NULL,NULL,Australia,AU
Airport,Toowoomba,TWB,Toowoomba,TWB,Australia,AU
City,Toowoomba,TWB,NULL,NULL,Australia,AU
City,Quilpie,ULP,NULL,NULL,Australia,AU
Airport,Quilpie,ULP,Quilpie,ULP,Australia,AU
City,Weipa,WEI,NULL,NULL,Australia,AU
Airport,Weipa,WEI,Weipa,WEI,Australia,AU
Airport,Wagga Wagga,WGA,Wagga Wagga,WGA,Australia,AU
City,Wagga Wagga,WGA,NULL,NULL,Australia,AU
Airport,Winton,WIN,Winton,WIN,Australia,AU
City,Winton,WIN,NULL,NULL,Australia,AU
Airport,Windorah,WNR,Windorah,WNR,Australia,AU
City,Windorah,WNR,NULL,NULL,Australia,AU
Airport,Whyalla,WYA,Whyalla,WYA,Australia,AU
City,Whyalla,WYA,NULL,NULL,Australia,AU
City,Yam Island,XMY,NULL,NULL,Australia,AU
Airport,Yam Island,XMY,Yam Island,XMY,Australia,AU
Airport,Thargomindah,XTG,Thargomindah,XTG,Australia,AU
City,Thargomindah,XTG,NULL,NULL,Australia,AU
City,Biloela (Thangool),ZBL,NULL,NULL,Australia,AU
Airport,Biloela,ZBL,Biloela (Thangool),ZBL,Australia,AU
City,Newman,ZNE,NULL,NULL,Australia,AU
Airport,Newman,ZNE,Newman,ZNE,Australia,AU
City,Graz,GRZ,NULL,NULL,Austria,AT
Airport,Graz,GRZ,Graz,GRZ,Austria,AT
City,Hohenems/Dornbirn,HOH,NULL,NULL,Austria,AT
Airport,Hohenems/Dornbirn,HOH,Hohenems/Dornbirn,HOH,Austria,AT
Airport,Innsbruck,INN,Innsbruck,INN,Austria,AT
City,Innsbruck,INN,NULL,NULL,Austria,AT
City,Klagenfurt,KLU,NULL,NULL,Austria,AT
Airport,Klagenfurt,KLU,Klagenfurt,KLU,Austria,AT
City,Linz,LNZ,NULL,NULL,Austria,AT
Airport,Linz,LNZ,Linz,LNZ,Austria,AT
Airport,Salzburg,SZG,Salzburg,SZG,Austria,AT
City,Salzburg,SZG,NULL,NULL,Austria,AT
Airport,Vienna,VIE,Vienna,VIE,Austria,AT
City,Vienna,VIE,NULL,NULL,Austria,AT
Airport,Andros Town,ASD,Andros Town,ASD,Bahamas,BS
City,Andros Town,ASD,NULL,NULL,Bahamas,BS
City,Arthur's Town,ATC,NULL,NULL,Bahamas,BS
Airport,Arthur's Town,ATC,Arthur's Town,ATC,Bahamas,BS
Airport,Spring Point,AXP,Spring Point,AXP,Bahamas,BS
City,Spring Point,AXP,NULL,NULL,Bahamas,BS
Airport,Bimini International Apt,BIM,Bimini,BIM,Bahamas,BS
City,Bimini,BIM,NULL,NULL,Bahamas,BS
City,Chub Cay,CCZ,NULL,NULL,Bahamas,BS
Airport,Chub Cay,CCZ,Chub Cay,CCZ,Bahamas,BS
City,Crooked Island,CRI,NULL,NULL,Bahamas,BS
Airport,Crooked Island,CRI,Crooked Island,CRI,Bahamas,BS
City,North Eleuthera,ELH,NULL,NULL,Bahamas,BS
Airport,North Eleuthera,ELH,North Eleuthera,ELH,Bahamas,BS
City,Freeport,FPO,NULL,NULL,Bahamas,BS
Airport,Freeport,FPO,Freeport,FPO,Bahamas,BS
Airport,George Town,GGT,George Town,GGT,Bahamas,BS
City,George Town,GGT,NULL,NULL,Bahamas,BS
City,Governors Harbour,GHB,NULL,NULL,Bahamas,BS
Airport,Governors Harbour,GHB,Governors Harbour,GHB,Bahamas,BS
City,Inagua,IGA,NULL,NULL,Bahamas,BS
Airport,Inagua,IGA,Inagua,IGA,Bahamas,BS
City,Deadmans Cay,LGI,NULL,NULL,Bahamas,BS
Airport,Deadmans Cay,LGI,Deadmans Cay,LGI,Bahamas,BS
City,Marsh Harbour,MHH,NULL,NULL,Bahamas,BS
Airport,Marsh Harbour,MHH,Marsh Harbour,MHH,Bahamas,BS
City,Mayaguana,MYG,NULL,NULL,Bahamas,BS
Airport,Mayaguana,MYG,Mayaguana,MYG,Bahamas,BS
City,Nassau,NAS,NULL,NULL,Bahamas,BS
Airport,Nassau International Apt,NAS,Nassau,NAS,Bahamas,BS
City,Rock Sound,RSD,NULL,NULL,Bahamas,BS
Airport,Rock Sound,RSD,Rock Sound,RSD,Bahamas,BS
Airport,Stella Maris,SML,Stella Maris,SML,Bahamas,BS
City,Stella Maris,SML,NULL,NULL,Bahamas,BS
Airport,The Bight,TBI,The Bight,TBI,Bahamas,BS
City,The Bight,TBI,NULL,NULL,Bahamas,BS
Airport,Treasure Cay,TCB,Treasure Cay,TCB,Bahamas,BS
City,Treasure Cay,TCB,NULL,NULL,Bahamas,BS
Airport,San Salvador,ZSA,San Salvador,ZSA,Bahamas,BS
City,San Salvador,ZSA,NULL,NULL,Bahamas,BS
Airport,Bahrain,BAH,Bahrain,BAH,Bahrain,BH
City,Bahrain,BAH,NULL,NULL,Bahrain,BH
City,Barbados,BGI,NULL,NULL,Barbados,BB
Airport,Barbados,BGI,Barbados,BGI,Barbados,BB
Airport,Brest,BQT,Brest,BQT,Belarus,BY
City,Brest,BQT,NULL,NULL,Belarus,BY
Airport,Grodno,GNA,Grodno,GNA,Belarus,BY
City,Grodno,GNA,NULL,NULL,Belarus,BY
Airport,Minsk International Apt 1,MHP,Minsk,MSQ,Belarus,BY
City,Minsk,MSQ,NULL,NULL,Belarus,BY
Airport,Minsk International Apt 2,MSQ,Minsk,MSQ,Belarus,BY
City,Vitebsk,VTB,NULL,NULL,Belarus,BY
Airport,Vitebsk,VTB,Vitebsk,VTB,Belarus,BY
Airport,Antwerp-Brussels North Airport,ANR,Brussels,BRU,Belgium,BE
City,Brussels,BRU,NULL,NULL,Belgium,BE
